Length	Freq
1	41
2	128
3	1168
4	4416
5	8716
6	14960
7	20278
8	25271
9	27223
10	25724
11	21659
12	16969
13	12588
14	8232
15	5029
16	2820
17	1535
18	708
19	368
20	174
21	76
22	36
23	15
24	3
28	1
